N,t
90100000,1.7168
90200000,1.78268
90300000,1.98032
90400000,1.87068
90500000,1.82472
90600000,1.7622
90700000,1.71922
90800000,1.76817
90900000,1.75062
91000000,1.73695
91100000,1.7314
91200000,1.72403
91300000,1.72829
91400000,1.76381
91500000,1.8974
91600000,1.87641
91700000,1.74659
91800000,1.74948
91900000,1.78519
92000000,1.78432
92100000,1.83042
92200000,1.82633
92300000,1.81439
92400000,1.8085
92500000,1.7762
92600000,1.7781
92700000,1.76558
92800000,1.76696
92900000,1.90104
93000000,1.77618
93100000,1.81243
93200000,1.76796
93300000,1.77385
93400000,1.78816
93500000,1.78568
93600000,1.82145
93700000,1.90548
93800000,1.82778
93900000,1.85164
94000000,1.8942
94100000,1.88816
94200000,1.79963
94300000,1.7874
94400000,1.90049
94500000,1.92512
94600000,1.86312
94700000,1.91077
94800000,1.94745
94900000,1.82622
95000000,1.99213
95100000,1.86304
95200000,1.82358
95300000,1.82482
95400000,1.92077
95500000,1.89503
95600000,1.84062
95700000,2.00791
95800000,1.87729
95900000,1.88213
96000000,1.86362
96100000,1.82307
96200000,1.826
96300000,1.91023
96400000,1.82856
96500000,1.90565
96600000,1.84297
96700000,1.94867
96800000,2.00247
96900000,1.95046
97000000,2.03556
97100000,1.88594
97200000,1.84642
97300000,1.93252
97400000,1.95752
97500000,1.95268
97600000,1.92478
97700000,2.05492
97800000,1.96531
97900000,1.90288
98000000,1.86522
98100000,1.93263
98200000,1.92374
98300000,1.8985
98400000,1.87334
98500000,1.94762
98600000,1.93763
98700000,1.88513
98800000,1.89275
98900000,1.95142
99000000,2.00342
99100000,2.0907
99200000,1.95601
99300000,1.99921
99400000,1.92021
99500000,1.9585
99600000,1.97892
99700000,2.00259
99800000,1.91137
99900000,1.88894
100000000,1.9267
